STT,Địa phương,Số liệt sĩ
1,Đà Nẵng,82765
2,Hà Nội,80000
3,Hưng Yên,76845
4,TP. Hồ Chí Minh,76244
5,Vĩnh Long,72448
6,Ninh Bình,70400
7,Hải Phòng,68924
8,Thanh Hóa,55932
9,Đồng Tháp,53498
10,Nghệ An,45000
11,Tây Ninh,40073
12,Quảng Ngãi,40071
13,Phú Thọ,40035
14,Gia Lai,38700
15,Bắc Ninh,37512
16,Quảng Trị,36099
17,Cần Thơ,32995
18,Cà Mau,29000
19,Hà Tĩnh,26469
20,An Giang,25000
21,Đồng Nai,23400
22,Lâm Đồng,19002
23,Huế,19000
24,Đắk Lắk,17659
25,Khánh Hòa,14313
26,Thái Nguyên,12182
27,Cao Bằng,8326
28,Quảng Ninh,8037
29,Lào Cai,7600
30,Tuyên Quang,6474
31,Lạng Sơn,5644
32,Sơn La,3515
33,Điện Biên,830
34,Lai Châu,700
